City,State,Country,Estimate (low),Estimate (high),Average,city_state_country,lat,lon
Salem,OR,US,1000,2000,1500.0,"Salem, OR, US",44.9428975,-123.0350963
Salem,WI,US,2,2,2.0,"Salem, WI, US",42.5542369,-88.1104802
Salida,CO,US,NA,NA,NA,"Salida, CO, US",38.5347193,-105.9989022
Salisbury,CT,US,200,200,200.0,"Salisbury, CT, US",41.983426,-73.4212318
Salt Lake City,UT,US,NA,NA,NA,"Salt Lake City, UT, US",40.7607793,-111.8910474
San Antonio,TX,US,1500,1500,1500.0,"San Antonio, TX, US",29.4241219,-98.49362819999999
San Bernardino,CA,US,NA,NA,NA,"San Bernardino, CA, US",34.1083449,-117.2897652
San Clemente,CA,US,100,200,150.0,"San Clemente, CA, US",33.4269728,-117.6119925
San Diego,CA,US,30000,40000,35e3,"San Diego, CA, US",32.715738,-117.1610838
San Francisco,CA,US,100000,15000,57500.0,"San Francisco, CA, US",37.7749295,-122.4194155
San Jose,CA,US,25000,25000,25e3,"San Jose, CA, US",37.3382082,-121.8863286
San Juan,PR,US,NA,NA,NA,"San Juan, PR, US",33.4856678,-117.5563561
San Juan Island,WA,US,1000,1000,1e3,"San Juan Island, WA, US",48.55136710000001,-123.0781062
San Leandro,CA,US,NA,NA,NA,"San Leandro, CA, US",37.7249296,-122.1560768
San Luis Obispo,CA,US,10000,10000,1e4,"San Luis Obispo, CA, US",35.2827524,-120.6596156
San Marcos,CA,US,1000,1000,1e3,"San Marcos, CA, US",33.1433723,-117.1661449
San Rafael,CA,US,500,500,500.0,"San Rafael, CA, US",37.9735346,-122.5310874
Sanford,ME,US,NA,NA,NA,"Sanford, ME, US",43.4391627,-70.7742804
Sandpoint,ID,US,800,1000,900.0,"Sandpoint, ID, US",48.276577,-116.553465
Sandy,OR,US,NA,NA,NA,"Sandy, OR, US",45.3973427,-122.2614761
Santa Ana,CA,US,2000,25000,13500.0,"Santa Ana, CA, US",33.7455731,-117.8678338
Santa Barbara,CA,US,2000,6000,4e3,"Santa Barbara, CA, US",34.4208305,-119.6981901
Santa Cruz,CA,US,1000,1500,1250.0,"Santa Cruz, CA, US",36.9741171,-122.0307963
Santa Fe,NM,US,10000,17000,13500.0,"Santa Fe, NM, US",35.6869752,-105.937799
Santa Rosa,CA,US,4300,5000,4650.0,"Santa Rosa, CA, US",38.440429,-122.7140548
Santurce,PR,US,NA,NA,NA,"Santurce, PR, US",18.4511086,-66.05553119999999
Sarasota,FL,US,7500,8000,7750.0,"Sarasota, FL, US",27.3364347,-82.53065269999999
Saugatuck,MI,US,1700,1700,1700.0,"Saugatuck, MI, US",42.6550248,-86.2019825
Sault Ste Marie,MI,US,40,40,40.0,"Sault Ste Marie, MI, US",46.4952996,-84.3453169
Savannah,GA,US,1000,1000,1e3,"Savannah, GA, US",32.0835407,-81.09983419999999
